id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,related_events,match_id,possession_team_id,team_id,player_id,counterpress
c5f59c2d-8e45-46dd-9634-1739c90762a0,892,1,00:19:51.026,19,51,Dribbled Past,34,Denmark,From Throw In,Serbia,Andrija Živković,Left Wing Back,"[62.5, 1.4]",0.0,"['53a545c5-a842-403a-8cc0-07d7eebfc4ed', '84f572f4-ad14-4449-a50c-1f86edc03373']",3930182,776,786,6318,
088e2e6f-3be9-4cf8-b0f2-6dfe7a0f0c1e,1369,1,00:32:08.766,32,8,Dribbled Past,57,Serbia,From Keeper,Denmark,Alexander Hartmann Bah,Right Wing Back,"[29.5, 76.1]",0.0,"['717f2fa1-0b9f-4f8b-8f27-333c5cff2526', '7e1697f2-dc81-431e-a867-1d1573373638']",3930182,786,776,24547,
d6ec856d-7244-4d48-83d3-feaabb6c0178,1582,1,00:35:29.306,35,29,Dribbled Past,65,Denmark,Regular Play,Serbia,Andrija Živković,Left Wing Back,"[84.8, 7.1]",0.0,"['2972fd87-58e6-4c36-80e4-bd055fecbada', 'b23a974b-7f83-4feb-81fb-ddfd9554ba64', 'efb1f346-4c21-4d05-9c14-506484f0aa21']",3930182,776,786,6318,True
d262b488-5353-4f7f-8be6-ee60bfcea6f4,2280,2,00:05:14.950,50,14,Dribbled Past,87,Denmark,From Free Kick,Serbia,Strahinja Pavlović,Left Center Back,"[13.9, 20.5]",0.0,"['4bec3fa6-30be-4ebd-b1e9-19e9988a6b69', '76b52164-ca85-4394-8d85-e33d4ad75f2c', 'fc304ea4-90f9-41f9-b1af-7f3762995ed6']",3930182,776,786,27719,
b39ff36f-2a88-47de-a8f1-de4dcf080591,2459,2,00:11:47.491,56,47,Dribbled Past,101,Denmark,Regular Play,Serbia,Srđan Mijailović,Right Wing Back,"[53.2, 78.8]",0.0,"['778bb4ab-15fb-4895-8b1b-72950e986cac', 'c40c14e6-ea7d-405c-a894-9eede46be555']",3930182,776,786,52089,
240ec069-9da9-4844-ad6f-56016a2e388d,2504,2,00:13:42.202,58,42,Dribbled Past,105,Denmark,Regular Play,Serbia,Luka Jović,Left Wing,"[65.1, 25.7]",0.0,"['1172b405-4761-469c-9099-18c1453678a1', 'db042ade-b43f-4f2b-9594-76118934e5c7', 'ffec98b0-c270-4ad9-a555-de284df74f17']",3930182,776,786,6319,True
5af1cd1e-19ec-4f35-a113-414293ec221a,2904,2,00:22:32.162,67,32,Dribbled Past,118,Serbia,From Goal Kick,Denmark,Andreas Skov Olsen,Right Attacking Midfield,"[56.7, 62.6]",0.0,"['1ead68ff-188a-40ce-9e84-9c4cf7ede28d', '8c345342-c983-40ce-9e0d-3c328a2aa9f2', 'b2d56d67-3926-474f-acf9-66ec71a290f9']",3930182,786,776,17042,
42c80721-d587-4658-88bd-92f53c133c58,3122,2,00:27:33.549,72,33,Dribbled Past,126,Denmark,Regular Play,Serbia,Srđan Mijailović,Right Wing Back,"[44.8, 77.4]",0.0,"['5e989ee4-991b-4877-a81b-c9b4394dcab8', 'cfe35591-c573-4efa-8cdc-2089ac2eea22']",3930182,776,786,52089,
a8d18cb2-0424-43fb-8a7c-4bc6d94b8cf5,3454,2,00:37:02.743,82,2,Dribbled Past,141,Serbia,Regular Play,Denmark,Andreas Skov Olsen,Right Attacking Midfield,"[89.1, 52.6]",0.0,"['1b2ba36a-fe9b-49a4-9c87-a3b68cb1e27a', 'c41d6702-1aa9-4cde-963f-2edd4d5cb2be', 'f4954368-20c0-4907-9c5a-9c8c761635b4']",3930182,786,776,17042,
316c2aba-f0e6-4672-84b1-079fea62d59a,91,1,00:01:32.150,1,32,Dribbled Past,6,Spain,Regular Play,Albania,Ylber Ramadani,Right Defensive Midfield,"[84.3, 24.3]",0.0,"['3e116dd1-262a-412d-bf0c-18006bf54df8', '7a39aecb-ce41-427a-abfa-29c6db2a427f', 'a86e0469-9de1-4728-b0f1-9bafaca10dd8']",3930179,772,906,24438,True
