match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,home_managers,away_managers,data_version,shot_fidelity_version,xy_fidelity_version
3938639,2024-06-18,19:00:00.000,Europe - UEFA Euro,2024,Turkey,Georgia,3,1,available,available,2024-07-12T06:04:52.417134,2024-07-12T06:05:10.871017,1,Group Stage,Signal-Iduna-Park,Facundo Tello Figueroa,Vincenzo Montella,Willy Sagnol,1.1.0,2,2
3938641,2024-06-21,19:00:00.000,Europe - UEFA Euro,2024,Poland,Austria,1,3,available,available,2024-07-12T21:09:31.780785,2024-07-12T21:10:46.438024,2,Group Stage,Olympiastadion Berlin,Halil Umut Meler,Michał Probierz,Ralf Rangnick,1.1.0,2,2
3938644,2024-06-26,22:00:00.000,Europe - UEFA Euro,2024,Georgia,Portugal,2,0,available,available,2024-07-12T05:40:33.402849,2024-07-12T05:42:21.069872,3,Group Stage,VELTINS-Arena,Sandro Schärer,Willy Sagnol,Roberto Martínez Montoliú,1.1.0,2,2
3938643,2024-06-25,19:00:00.000,Europe - UEFA Euro,2024,France,Poland,1,1,available,available,2024-07-12T06:05:55.170896,2024-07-12T06:08:47.869486,3,Group Stage,Signal-Iduna-Park,Marco Guida,Didier Deschamps,Michał Probierz,1.1.0,2,2
3938638,2024-06-17,16:00:00.000,Europe - UEFA Euro,2024,Romania,Ukraine,3,0,available,available,2024-07-12T03:38:10.661840,2024-07-12T03:39:18.794242,1,Group Stage,Allianz Arena,Glenn Nyberg,Edward Iordănescu,Sergiy Rebrov,1.1.0,2,2
3930183,2024-06-26,19:00:00.000,Europe - UEFA Euro,2024,Slovakia,Romania,1,1,available,available,2024-07-09T16:08:41.246995,2024-07-09T16:16:22.181617,3,Group Stage,Deutsche Bank Park,Daniel Siebert,Francesco Calzona,Edward Iordănescu,1.1.0,2,2
3930181,2024-06-25,22:00:00.000,Europe - UEFA Euro,2024,England,Slovenia,0,0,available,available,2024-07-10T14:26:49.966712,2024-07-10T14:27:59.561474,3,Group Stage,RheinEnergieStadion,Clément Turpin,Gareth Southgate,Matjaž Kek,1.1.0,2,2
3930178,2024-06-24,22:00:00.000,Europe - UEFA Euro,2024,Croatia,Italy,1,1,available,available,2024-07-10T12:21:13.840986,2024-07-10T12:23:12.394850,3,Group Stage,Red Bull Arena,Danny Desmond Makkelie,Zlatko Dalić,Luciano Spalletti,1.1.0,2,2
3930176,2024-06-23,22:00:00.000,Europe - UEFA Euro,2024,Switzerland,Germany,1,1,available,available,2024-07-13T21:41:00.247826,2024-07-13T21:41:29.142800,3,Group Stage,Deutsche Bank Park,Daniele Orsato,Murat Yakin,Julian Nagelsmann,1.1.0,2,2
3930175,2024-06-22,22:00:00.000,Europe - UEFA Euro,2024,Belgium,Romania,2,0,available,available,2024-07-09T15:12:57.012326,2024-07-09T15:13:58.718506,2,Group Stage,RheinEnergieStadion,Szymon Marciniak,Domenico Tedesco,Edward Iordănescu,1.1.0,2,2
3930174,2024-06-22,19:00:00.000,Europe - UEFA Euro,2024,Turkey,Portugal,0,3,available,available,2024-07-11T16:39:20.496235,2024-07-11T16:43:45.852125,2,Group Stage,Signal-Iduna-Park,Felix Zwayer,Vincenzo Montella,Roberto Martínez Montoliú,1.1.0,2,2
3930170,2024-06-20,16:00:00.000,Europe - UEFA Euro,2024,Slovenia,Serbia,1,1,available,available,2024-07-12T18:51:51.416868,2024-07-12T18:53:31.866826,2,Group Stage,Allianz Arena,István Kovács,Matjaž Kek,Dragan Stojković,1.1.0,2,2
3930169,2024-06-19,22:00:00.000,Europe - UEFA Euro,2024,Scotland,Switzerland,1,1,available,available,2024-07-13T23:57:40.464361,2024-07-14T00:02:35.662811,2,Group Stage,RheinEnergieStadion,Ivan Kružliak,Steve Clarke,Murat Yakin,1.1.0,2,2
3930166,2024-06-18,22:00:00.000,Europe - UEFA Euro,2024,Portugal,Czech Republic,2,1,available,available,2024-07-10T14:53:09.929031,2024-07-10T14:54:55.319751,1,Group Stage,Red Bull Arena,Marco Guida,Roberto Martínez Montoliú,Ivan Hašek,1.1.0,2,2
3930163,2024-06-16,22:00:00.000,Europe - UEFA Euro,2024,Serbia,England,0,1,available,available,2024-07-14T07:08:44.634374,2024-07-14T07:10:41.937955,1,Group Stage,VELTINS-Arena,Daniele Orsato,Dragan Stojković,Gareth Southgate,1.1.0,2,2
3930162,2024-06-16,19:00:00.000,Europe - UEFA Euro,2024,Slovenia,Denmark,1,1,available,available,2024-07-10T16:07:00.970746,2024-07-10T16:09:27.468163,1,Group Stage,MHPArena,Sandro Schärer,Matjaž Kek,Kasper Hjulmand,1.1.0,2,2
3930160,2024-06-15,19:00:00.000,Europe - UEFA Euro,2024,Spain,Croatia,3,0,available,available,2024-07-12T03:36:29.899268,2024-07-12T03:40:20.513429,1,Group Stage,Olympiastadion Berlin,Michael Oliver,Luis de la Fuente Castillo,Zlatko Dalić,1.1.0,2,2
3930159,2024-06-15,16:00:00.000,Europe - UEFA Euro,2024,Hungary,Switzerland,1,3,available,available,2024-07-10T13:33:58.630908,2024-07-10T13:35:35.263551,1,Group Stage,RheinEnergieStadion,Slavko Vinčić,Marco Rossi,Murat Yakin,1.1.0,2,2
3930158,2024-06-14,22:00:00.000,Europe - UEFA Euro,2024,Germany,Scotland,5,1,available,available,2024-07-04T08:11:49.443397,2024-07-04T08:13:19.028344,1,Group Stage,Allianz Arena,Clément Turpin,Julian Nagelsmann,Steve Clarke,1.1.0,2,2
