id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,duration,match_id,substitution_outcome,substitution_replacement,possession_team_id,team_id,player_id,substitution_outcome_id,substitution_replacement_id,off_camera
fc044411-950d-44de-aa61-ce9605193b75,3838,3,00:00:00.000,90,0,Substitution,133,Portugal,From Keeper,France,Eduardo Camavinga,Left Center Midfield,0.0,3942349,Tactical,Youssouf Fofana,780,771,24778,103,11990,
553b0420-0c6c-4b52-a895-b1c51d6a04f4,4571,4,00:00:00.000,105,0,Substitution,150,France,From Goal Kick,France,Kylian Mbappé Lottin,Left Wing,0.0,3942349,Injury,Bradley Barcola,771,771,3009,102,39420,
a0f46038-7080-46ae-87a3-3f8dba171675,4572,4,00:00:00.000,105,0,Substitution,150,France,From Goal Kick,Portugal,Rafael Alexandre Conceição Leão,Left Midfield,0.0,3942349,Tactical,João Félix Sequeira,771,780,18360,103,12041,
33667b97-a6f2-42f1-8972-c12c8ae72f35,5073,4,00:12:58.454,117,58,Substitution,172,France,From Corner,Portugal,Vitor Machado Ferreira,Left Defensive Midfield,0.0,3942349,Tactical,Matheus Luiz Nunes,771,780,34639,103,40874,
2094f195-98c7-4171-a331-beb1e7181147,1299,1,00:34:11.883,34,11,Substitution,59,Netherlands,From Free Kick,Netherlands,Joey Veerman,Left Center Midfield,0.0,3930180,Tactical,Xavi Simons,941,941,21633,103,39167,
f2fd0565-6c13-4641-b6a5-7bb502998078,2199,2,00:16:30.759,61,30,Substitution,108,Netherlands,Regular Play,Austria,Philipp Lienhart,Right Center Back,0.0,3930180,Tactical,Leopold Querfeld,941,915,8931,103,152512,
043205cc-20b8-412f-999a-a05b35d743f3,2200,2,00:17:27.416,62,27,Substitution,108,Netherlands,Regular Play,Austria,Patrick Wimmer,Left Wing,0.0,3930180,Tactical,Christoph Baumgartner,941,915,33297,103,24977,
a2c82994-5e00-41f0-801c-182deabc49a4,2201,2,00:18:24.780,63,24,Substitution,108,Netherlands,Regular Play,Austria,Florian Grillitsch,Left Defensive Midfield,0.0,3930180,Tactical,Konrad Laimer,941,915,11396,103,8506,
6a3bdc21-2b4f-47c4-a2c2-f2799cbd964b,2234,2,00:19:46.191,64,46,Substitution,110,Netherlands,Regular Play,Netherlands,Tijjani Reijnders,Left Defensive Midfield,0.0,3930180,Tactical,Georginio Wijnaldum,941,941,21582,103,3567,
6379858e-ac74-4f75-9c06-1d294e0f2eee,2236,2,00:19:59.773,64,59,Substitution,110,Netherlands,Regular Play,Netherlands,Nathan Aké,Left Back,0.0,3930180,Tactical,Micky van de Ven,941,941,3306,103,32547,
