id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,under_pressure,related_events,match_id,dribble_outcome,possession_team_id,team_id,player_id,dribble_nutmeg,dribble_overrun,out,dribble_no_touch
1feea54a-74af-41a0-8f79-6299ee1f3485,1863,1,00:46:46.583,46,46,Dribble,62,Turkey,Regular Play,Turkey,Arda Güler,Right Wing,"[49.8, 68.7]",0.0,True,"['6362fa7b-f9bb-4fa2-aeb8-e0c0771ba2bb', '9da6f776-82a9-47aa-908e-32a59b8b317a']",3942382,Complete,909,909,116587,True,,,
3f53e746-79f6-4985-ac83-d134a21c762a,2147,2,00:07:50.956,52,50,Dribble,76,Netherlands,Regular Play,Netherlands,Memphis Depay,Center Attacking Midfield,"[82.8, 27.3]",0.0,True,"['12839ebd-5279-4bf0-9c12-684202f2fab3', '73444cc1-646f-480c-aeec-471a4dff97e5']",3942382,Complete,941,941,2988,,,,
5d1fe92b-be8b-475b-a319-68f1451f1a41,2209,2,00:11:19.883,56,19,Dribble,82,Turkey,From Goal Kick,Turkey,Kaan Ayhan,Right Center Back,"[12.2, 78.0]",0.0,True,"['a668800c-0178-4151-878c-b2094ad72bff', 'adc57e70-7b5d-4671-969f-5fc54d6f575b']",3942382,Complete,909,909,12293,,,,
7d6d3037-15ce-48b2-a6a0-7e8a6c53e2f5,2336,2,00:14:51.869,59,51,Dribble,89,Netherlands,Regular Play,Turkey,Barış Alper Yılmaz,Center Forward,"[39.0, 59.4]",0.0,True,"['94e760c8-8fc0-4dfa-807e-8077dfd28ae7', 'e4473211-b7b0-49aa-af3f-81cea77b2cfc']",3942382,Incomplete,941,909,134209,True,,,
47a51eae-dcbd-44c1-9522-b31692232d6a,2426,2,00:16:27.060,61,27,Dribble,92,Netherlands,Regular Play,Netherlands,Cody Mathès Gakpo,Left Wing,"[112.4, 13.8]",0.0,True,['28cb4da8-009d-4fa2-8e63-7a716230a08c'],3942382,Complete,941,941,20750,,,,
a78596b9-89f3-4d31-841e-5a6a34612b60,2694,2,00:24:02.119,69,2,Dribble,98,Netherlands,Regular Play,Netherlands,Cody Mathès Gakpo,Left Wing,"[93.5, 3.6]",0.0,True,['8bba648f-107b-4d63-8298-0df0b712a25e'],3942382,Complete,941,941,20750,True,,,
afaceb07-6d09-4566-b5d3-208446031388,3132,2,00:40:15.142,85,15,Dribble,112,Turkey,From Free Kick,Turkey,Ferdi Erenay Kadıoğlu,Left Back,"[42.4, 16.6]",0.0,True,"['a964f393-5f58-4481-a7f7-ea7d5d043f65', 'd5d19d1d-fca7-41b0-b4fa-c6121e73bc94']",3942382,Complete,909,909,30438,,,,
3a36e7fd-2c2b-4973-b658-66381a8c6fc8,3167,2,00:40:55.336,85,55,Dribble,112,Turkey,From Free Kick,Turkey,Abdülkerim Bardakcı,Left Center Back,"[76.2, 18.1]",0.0,True,['6edb0369-6351-4245-9272-4ac269143ab4'],3942382,Incomplete,909,909,48383,,,,
2171a655-c103-4f05-ba54-6924fd064d36,3323,2,00:46:26.878,91,26,Dribble,121,Turkey,From Corner,Netherlands,Jeremie Frimpong,Right Midfield,"[52.6, 34.4]",0.0,True,['f0a0fd08-0cb0-436b-8894-fa585cb85b5d'],3942382,Incomplete,909,941,32712,,,,
8eda4da9-02f6-4917-af0b-fb7d4088657b,217,1,00:03:07.873,3,7,Dribble,4,Portugal,Regular Play,Portugal,João Pedro Cavaco Cancelo,Right Back,"[28.1, 77.3]",0.0,True,"['84635af9-850e-492a-8ffb-4db0f9860927', 'c9138e49-f84b-42e9-9a5e-e83d62430c6d']",3942349,Complete,780,780,7005,,,,
af93469b-688c-488a-94ff-5f39eecef570,240,1,00:03:30.160,3,30,Dribble,4,Portugal,Regular Play,Portugal,Rafael Alexandre Conceição Leão,Left Midfield,"[105.5, 10.7]",0.0,True,['796d5c8b-ccbc-455f-9bba-74b6250063e7'],3942349,Complete,780,780,18360,,,,
0051bcbb-efc8-489a-9f18-d9baf006ccb5,854,1,00:18:27.073,18,27,Dribble,21,Portugal,From Throw In,Portugal,Rafael Alexandre Conceição Leão,Left Midfield,"[106.3, 10.2]",0.0,True,['20fc9aae-b90e-442a-afbb-7c9906aa1b8c'],3942349,Incomplete,780,780,18360,,,,
