id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,related_events,match_id,interception_outcome,possession_team_id,team_id,player_id,counterpress,under_pressure
7090d572-1aaa-4d59-9004-dc74778c9f47,2977,2,00:33:08.494,78,8,Interception,96,England,From Throw In,Netherlands,Cody Mathès Gakpo,Left Wing,"[54.9, 24.1]",0.0,['3c4e65d5-0374-4c72-904e-7fde10b2dc8a'],3942819,Won,768,941,20750,,
1eaed66f-df67-4519-83ae-727068def442,3268,2,00:39:47.967,84,47,Interception,104,Netherlands,Regular Play,Netherlands,Stefan de Vrij,Right Center Back,"[20.9, 59.2]",0.0,['f6d366a3-c960-4e25-ae52-b72329f07212'],3942819,Won,941,941,7787,True,
7c547e8d-ca21-4b86-a552-a4b89486baa9,3423,2,00:48:24.739,93,24,Interception,110,Netherlands,From Kick Off,Netherlands,Stefan de Vrij,Right Center Back,"[50.1, 21.3]",0.0,['6f5226d0-1034-4805-bfac-ed7055c033e8'],3942819,Lost In Play,941,941,7787,,
034031e6-ceb5-4043-a37e-baf3ede7fa64,3435,2,00:48:32.184,93,32,Interception,110,Netherlands,From Kick Off,England,Conor Gallagher,Left Defensive Midfield,"[63.2, 23.5]",0.0,['afd25488-1cbf-4f48-af14-197dd9cf5c06'],3942819,Lost Out,941,768,29399,,
1d90eeb0-ae08-4f22-8fe3-2976dfea98fb,174,1,00:03:43.981,3,43,Interception,9,Spain,Regular Play,England,Jude Bellingham,Left Wing,"[35.5, 6.3]",0.0,['6c550db8-487b-4210-984f-4d94931aee11'],3943043,Won,772,768,30714,,
1d98dd50-21e5-43bd-a795-978fbc16a015,346,1,00:07:09.443,7,9,Interception,12,Spain,Regular Play,England,Kyle Walker,Right Back,"[19.6, 57.5]",0.0,['611702d3-c859-4c4c-8ccf-04080599c6c4'],3943043,Lost In Play,772,768,3205,,
43704be8-e51a-48ef-8bae-39fd1f9fdd73,353,1,00:07:12.554,7,12,Interception,12,Spain,Regular Play,England,Kobbie Mainoo,Right Defensive Midfield,"[15.4, 53.4]",0.0,['d9f5651f-0e12-40fc-b26e-5bfaf925552f'],3943043,Success In Play,772,768,99174,,
9d4e21e6-a9ee-4f79-b4f0-a36547294d7d,893,1,00:22:54.003,22,54,Interception,38,Spain,Regular Play,Spain,Daniel Olmo Carvajal,Center Attacking Midfield,"[93.0, 50.8]",0.0,['3b588f25-6cd7-4c7e-a878-006be98782de'],3943043,Won,772,772,16532,True,
83eb13d7-c9aa-485f-892d-31a6a69ef183,1558,1,00:40:39.909,40,39,Interception,66,England,Regular Play,England,Declan Rice,Left Defensive Midfield,"[34.8, 26.2]",0.0,['c341797f-7433-4827-b847-ea5b48efc82a'],3943043,Won,768,768,3943,True,
a56c58cf-4067-4709-92c6-8a513a23d8f7,2310,2,00:13:51.478,58,51,Interception,97,Spain,From Throw In,England,Luke Shaw,Left Back,"[17.2, 29.1]",0.0,['18e6667e-fad1-4ff3-bdfb-768383dca33e'],3943043,Success In Play,772,768,3382,,
