id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,location,duration,match_id,possession_team_id,team_id,off_camera
9755e8c0-4d3d-49f3-9a1a-4c4413111351,2161,2,00:02:07.528,47,7,Referee Ball-Drop,65,England,Other,England,"[78.6, 40.2]",0.0,3930163,768,768,True
27776924-1823-4e72-b565-6a0d27bf887a,2162,2,00:02:07.606,47,7,Referee Ball-Drop,66,Serbia,Other,Serbia,"[41.5, 39.9]",0.0,3930163,786,786,True
c7be9f9d-fda1-44bb-a309-02161284a93f,137,1,00:02:52.814,2,52,Referee Ball-Drop,4,Slovenia,Other,Slovenia,"[62.9, 56.0]",0.0,3930162,944,944,
535421a8-beaa-4816-bb7f-10617428ed88,138,1,00:02:52.894,2,52,Referee Ball-Drop,5,Denmark,Other,Denmark,"[56.4, 21.5]",0.0,3930162,776,776,
eb55a5b3-faa9-4d76-931d-3db7e4bb5f55,1513,1,00:39:11.936,39,11,Referee Ball-Drop,66,Croatia,Other,Croatia,"[84.5, 50.7]",0.0,3930160,785,785,
d4364a2e-fb70-4ea0-9954-dc42d04c76f5,1514,1,00:39:12.109,39,12,Referee Ball-Drop,67,Spain,Other,Spain,"[35.6, 29.4]",0.0,3930160,772,772,
cff0da20-e494-49c2-80b1-5f8ac4361cd0,1968,2,00:03:42.170,48,42,Referee Ball-Drop,90,Spain,Other,Spain,"[50.2, 64.0]",0.0,3930160,772,772,
af705f8f-62aa-43b3-98d3-1bfa72cf5ac1,1969,2,00:03:42.291,48,42,Referee Ball-Drop,91,Croatia,Other,Croatia,"[69.9, 16.1]",0.0,3930160,785,785,
12cf98b0-189e-4cad-aff2-b20e80489c66,2095,2,00:06:04.120,51,4,Referee Ball-Drop,98,Croatia,Other,Croatia,"[69.3, 32.6]",0.0,3930160,785,785,True
2c1fd771-dbb4-4eb3-babc-b502f6d610e0,2096,2,00:06:04.280,51,4,Referee Ball-Drop,99,Spain,Other,Spain,"[50.8, 47.5]",0.0,3930160,772,772,True
