id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,duration,related_events,match_id,possession_team_id,team_id,player_id,player_off_permanent,off_camera
9f1acbdd-429d-49be-b0dc-aba6e21abcaa,848,1,00:21:24.401,21,24,Player Off,40,France,Regular Play,Austria,Florian Grillitsch,Left Defensive Midfield,0.0,['2dde405d-f71f-4579-a1da-484bbb4cbf45'],3930165,771,915,11396,,
fcb55494-1100-4362-8bcf-9e4df40b0bd8,1913,2,00:01:49.186,46,49,Player Off,91,France,From Kick Off,France,Antoine Griezmann,Center Attacking Midfield,0.0,['1ddad483-920e-4f6c-8c19-66dab79f0155'],3930165,771,771,5487,,
284ec420-5063-46f2-b5a3-778594c10fa8,3284,2,00:42:36.670,87,36,Player Off,151,Austria,Regular Play,France,Kylian Mbappé Lottin,Center Forward,0.0,['7ed6f105-ab52-429e-bf19-18237d4ba047'],3930165,915,771,3009,,
1c37a03e-fac0-4275-8fe6-75e24e9b3281,1400,1,00:34:49.093,34,49,Player Off,64,Belgium,Regular Play,Slovakia,Dávid Hancko,Left Back,0.0,['0c13a93b-89c8-4576-9616-021333fb2e47'],3930164,782,908,16879,,
fb9f333b-4951-411b-a1ab-65764d2ed115,2452,2,00:18:17.719,63,17,Player Off,114,Belgium,Regular Play,Slovakia,Dávid Hancko,Left Back,0.0,['fa4886cf-3eb8-4633-b2c3-77f42565646f'],3930164,782,908,16879,,
2603e2aa-c2c2-423f-9970-23d7a3dc1e2c,1357,1,00:34:49.979,34,49,Player Off,44,Italy,From Throw In,Italy,Federico Chiesa,Right Wing,0.0,['f08478e7-d0e1-48c9-a520-779c9ca32167'],3930161,914,914,7156,,
564112ab-9dc1-4fe3-9890-be292aec9314,2232,2,00:08:02.584,53,2,Player Off,71,Albania,From Free Kick,Italy,Alessandro Bastoni,Right Center Back,0.0,['d358fd6d-37bb-4af0-a6fb-3418b5f8b879'],3930161,906,914,7480,,
905c8fdd-0376-4bae-91d2-c953d2663db4,2074,2,00:07:33.398,52,33,Player Off,83,Poland,Regular Play,Netherlands,Xavi Simons,Right Wing,0.0,['6e70c336-56e7-4633-a03b-b63f180838d8'],3938637,789,941,39167,,
b85f5489-c42d-4b17-9d35-fea41a3c18ee,3100,2,00:40:11.555,85,11,Player Off,129,Netherlands,From Free Kick,Poland,Bartosz Salamon,Center Back,0.0,['30cda40c-8a77-43e1-9c1f-45d1544f96b9'],3938637,941,789,8289,,
6b4f1888-862c-4d57-b9e4-945c7bde4a6e,1838,2,00:00:54.060,45,54,Player Off,71,Ukraine,From Kick Off,Ukraine,Oleksandr Zinchenko,Left Back,0.0,['5a2f3906-9e93-40aa-9aef-f1010c12dbf4'],3938640,911,911,3575,,
ed0a5ac4-c2a5-49e8-a986-cbf6a9f92127,1839,2,00:01:00.372,46,0,Player Off,71,Ukraine,From Kick Off,Slovakia,Peter Pekarík,Right Back,0.0,['2cf3ff52-f0b8-4eee-80ae-b639581e5832'],3938640,911,908,9722,,
f5e87eb7-d707-470f-a76f-a2929a3e9dbf,2443,2,00:17:35.019,62,35,Player Off,104,Slovakia,Regular Play,Slovakia,Dávid Hancko,Left Back,0.0,['e650d271-3514-436b-add1-d975628f467f'],3938640,908,908,16879,,
efca9e38-5ad7-4523-9639-8feeb7187c6b,2849,2,00:29:58.200,74,58,Player Off,127,Slovakia,Regular Play,Ukraine,Mykhailo Mudryk,Left Midfield,0.0,['5477f07e-77ee-446b-aa70-7f2d65a5f4d5'],3938640,908,911,39483,,
f889a4e8-cc44-4c0c-8f99-a95acd92f0e0,2944,2,00:32:14.581,77,14,Player Off,130,Ukraine,From Throw In,Slovakia,Tomáš Suslov,Left Wing,0.0,['869695d5-6c38-448b-9bc8-32efba3a3901'],3938640,911,908,35653,,
c4c1c2fd-01d4-4104-8bba-f997adb93bd3,1658,2,00:01:51.198,46,51,Player Off,84,Georgia,Regular Play,Czech Republic,David Jurásek,Left Wing Back,0.0,['7232849b-4dd8-4a95-bb19-400b31e76645'],3938642,2138,912,134272,,
2b1952d8-401d-4091-8c9f-6220a1d8a49f,3272,2,00:31:07.217,76,7,Player Off,125,Georgia,From Throw In,Turkey,Mert Müldür,Right Back,0.0,['6415419e-e07d-4c4a-8a52-bfede6b6cf93'],3938639,2138,909,10826,,
4f0490f3-e3aa-41c0-b614-f2f059474f61,3462,2,00:38:36.287,83,36,Player Off,135,Georgia,From Throw In,Georgia,Khvicha Kvaratskhelia,Left Wing,0.0,['c57040dc-0f64-45dd-a4bc-195aeb87c475'],3938639,2138,2138,38229,,True
037cf098-7ac4-4eae-9864-51e1a70c91ea,1753,1,00:40:45.415,40,45,Player Off,59,Georgia,Regular Play,Georgia,Khvicha Kvaratskhelia,Left Center Forward,0.0,['64639e6c-b70b-4807-b982-579fae4ee7ef'],3938644,2138,2138,38229,,
02b5733b-9219-4ebc-a240-cfad577cc7d5,2535,2,00:16:06.987,61,6,Player Off,104,Georgia,Regular Play,Georgia,Luka Lochoshvili,Left Wing Back,0.0,['8580d3b8-1c8a-47c1-bfed-28307fca580a'],3938644,2138,2138,48178,,
b1da931d-8c85-4657-b038-8ee3f844cfe8,2773,2,00:23:35.780,68,35,Player Off,116,Portugal,From Corner,Georgia,Otar Kakabadze,Right Wing Back,0.0,['ec0194cd-ff18-423b-82b4-4976d7db7976'],3938644,780,2138,25036,,
2a01ea12-233f-449c-8aa8-ac22134261ad,1603,1,00:36:29.841,36,29,Player Off,61,France,Regular Play,Poland,Kacper Urbanski,Right Center Forward,0.0,['269882ab-b334-4c8d-9b67-cfc5fdcefddf'],3938643,771,789,33680,,
c0dcb8e1-f71f-4809-9948-3f0cf7607fcb,1574,1,00:43:36.126,43,36,Player Off,64,Romania,From Goal Kick,Romania,Marius Mihai Marin,Center Defensive Midfield,0.0,['af597774-d034-4520-8e21-1f90f59fa795'],3938638,905,905,30913,,
e645bf27-be5d-4fbd-ae85-d53b35119de2,2897,2,00:39:26.705,84,26,Player Off,136,Ukraine,Regular Play,Romania,Valentin Mihai Mihăilă,Left Midfield,0.0,['3ba87425-6f8b-4c74-8cd3-3d393af5274c'],3938638,911,905,72512,,
cbe491bf-7e88-4dbb-9609-72a06b559b25,2444,2,00:13:01.881,58,1,Player Off,86,England,From Corner,Slovenia,Andraž Šporar,Right Center Forward,0.0,['81318472-4125-4c29-b65b-517ab5dce585'],3930181,768,944,31866,,
16c255d3-71ab-4579-8c20-a076618e1012,856,1,00:25:29.788,25,29,Player Off,51,Belgium,Regular Play,Romania,Valentin Mihai Mihăilă,Left Midfield,0.0,['dadab2cc-fcab-4c62-9bc7-7cb1ac79bcf4'],3930175,782,905,72512,,
46cbc4bf-7a3d-453c-b428-c2292aed05d9,1980,2,00:07:35.979,52,35,Player Off,97,Belgium,From Throw In,Belgium,Jeremy Doku,Left Wing,0.0,['ff11fda2-f3a9-4d32-841c-c59481b8266a'],3930175,782,782,23650,,
8d8efbf8-f5a4-4465-9253-4a813da6f16d,2184,2,00:05:52.547,50,52,Player Off,87,Serbia,From Corner,Slovenia,Erik Janža,Left Back,0.0,['895a18cb-d3cc-404f-a772-4b69291ea961'],3930170,786,944,28211,,
8b715adf-c77a-4f39-b0e2-f915a0276893,562,1,00:19:41.282,19,41,Player Off,42,Switzerland,From Corner,Switzerland,Fabian Lukas Schär,Right Center Back,0.0,['a1a3f314-dfb7-4661-8ebc-784d96d2cc71'],3930169,773,773,5537,,
1852aa64-00c5-4ba7-a787-89779cfe3f94,563,1,00:19:56.847,19,56,Player Off,42,Switzerland,From Corner,Scotland,Anthony Ralston,Right Wing Back,0.0,['8a939bad-c35c-44f4-909f-520d26b64b80'],3930169,773,942,22308,,
fb1a46d3-cc2b-4d9d-b6bb-cd561c201c32,1818,1,00:41:44.189,41,44,Player Off,54,Serbia,Regular Play,Serbia,Filip Kostić,Left Wing Back,0.0,['35303e41-bea3-4c18-b0da-48beedfbbddb'],3930163,786,786,5591,,
e8b52253-f468-4d5a-9f65-7f8a6ac334c9,3423,2,00:34:54.413,79,54,Player Off,111,England,Regular Play,England,Kieran Trippier,Left Back,0.0,['80db41ae-5e97-4897-a47c-5c8b27746427'],3930163,768,768,3308,,
ddbee97d-3132-4aaa-ab0e-e474ccb42f6d,1512,1,00:38:55.100,38,55,Player Off,65,Spain,Regular Play,Spain,Pedro González López,Center Attacking Midfield,0.0,['5581709b-81ce-448f-af98-5fc82a8a6c14'],3930160,772,772,30486,,
13c87789-810f-4a95-a2df-2747e0377bab,474,1,00:15:12.304,15,12,Player Off,25,Hungary,From Kick Off,Hungary,Roland Sallai,Right Attacking Midfield,0.0,['08454cc1-dce6-4ec1-92f4-df792649a641'],3930159,916,916,19316,,True
5e094ccc-d53a-4e18-805f-9ce8085fb791,2827,2,00:35:36.432,80,36,Player Off,130,Hungary,From Throw In,Switzerland,Fabian Lukas Schär,Right Center Back,0.0,['4cdfa979-0ec7-4967-b88c-09553553f653'],3930159,916,773,5537,,
