id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,duration,match_id,possession_team_id,team_id,player_id,injury_stoppage_in_chain,under_pressure,related_events
7a62adfc-f136-48dc-b674-7e1b158fff92,1352,1,00:38:26.466,38,26,Injury Stoppage,66,Czech Republic,From Goal Kick,Turkey,Fehmi Mert Günok,Goalkeeper,0.0,3930184,912,909,30310,,,
59e895f3-b7f7-4673-af91-52eda5004c5a,1866,2,00:07:43.677,52,43,Injury Stoppage,89,Turkey,From Keeper,Czech Republic,Jindřich Staněk,Goalkeeper,0.0,3930184,909,912,28040,,,
1f707122-0307-4b88-983d-63ef69a9d112,2019,2,00:16:06.729,61,6,Injury Stoppage,102,Czech Republic,Regular Play,Turkey,Samet Akaydin,Right Center Back,0.0,3930184,912,909,133305,,,
2a53bcff-112e-4c52-b788-19900ecd1f76,2778,2,00:45:21.634,90,21,Injury Stoppage,141,Czech Republic,From Goal Kick,Turkey,Mert Müldür,Right Back,0.0,3930184,912,909,10826,,,
f5e170ea-52f3-44a3-92d0-9c32e860d76c,187,1,00:04:58.360,4,58,Injury Stoppage,11,Austria,From Corner,Austria,Christoph Baumgartner,Center Attacking Midfield,0.0,3941022,915,915,24977,,,
b4fcf996-baab-426d-b001-84c18f65da8b,3230,2,00:35:58.752,80,58,Injury Stoppage,148,Austria,From Free Kick,Austria,Maximilian Wöber,Left Center Back,0.0,3941022,915,915,8068,,,
aef058a3-8cc4-4627-90af-e9668556210b,3231,2,00:36:24.539,81,24,Injury Stoppage,148,Austria,From Free Kick,Turkey,Orkun Kökçü,Left Center Midfield,0.0,3941022,915,909,22212,,,
af9ef3c4-6754-4743-ab28-e6ae107071a8,3589,2,00:45:53.359,90,53,Injury Stoppage,163,Austria,From Throw In,Austria,Maximilian Wöber,Left Center Back,0.0,3941022,915,915,8068,,,
6614d751-1947-4a5d-9fb1-f24a16f4ee52,118,1,00:02:34.874,2,34,Injury Stoppage,7,Netherlands,Regular Play,Romania,Ianis Hagi,Left Midfield,0.0,3941021,941,905,28565,,,
ef4fd75b-c0fe-43bd-9f09-ac919232b49d,119,1,00:02:43.460,2,43,Injury Stoppage,7,Netherlands,Regular Play,Netherlands,Bart Verbruggen,Goalkeeper,0.0,3941021,941,941,37274,,,
5fd83a7e-f2fa-4e01-ab23-cbce976546a8,979,1,00:31:59.593,31,59,Injury Stoppage,50,Romania,From Free Kick,Netherlands,Denzel Dumfries,Right Back,0.0,3941021,905,941,8125,,,
022ea1c2-74b0-46f5-88c4-936f7628c484,980,1,00:32:16.712,32,16,Injury Stoppage,50,Romania,From Free Kick,Romania,Vasile Mogoș,Left Back,0.0,3941021,905,905,30839,,,
58b66a12-3aca-426e-877c-29a4904a3a65,2936,2,00:44:37.343,89,37,Injury Stoppage,149,Romania,From Free Kick,Romania,Florin Constantin Niţă,Goalkeeper,0.0,3941021,905,905,28242,,,
8fb6c37a-69ca-4b0e-a2c1-de7a84464cb7,2937,2,00:44:41.540,89,41,Injury Stoppage,149,Romania,From Free Kick,Netherlands,Bart Verbruggen,Goalkeeper,0.0,3941021,905,941,37274,,,
b3d94efe-3e77-45a2-9497-6178e1a8062b,790,1,00:18:28.188,18,28,Injury Stoppage,31,Slovenia,Regular Play,Portugal,Nuno Mendes,Left Back,0.0,3941020,944,780,41092,,,
dc291e85-4483-4546-bcc4-861c7faed42b,791,1,00:18:32.186,18,32,Injury Stoppage,31,Slovenia,Regular Play,Slovenia,Adam Gnezda Čerin,Right Defensive Midfield,0.0,3941020,944,944,31968,,,
8a975828-4c1e-4a8f-b888-eb4160a67fd8,2865,2,00:36:16.073,81,16,Injury Stoppage,139,Slovenia,Regular Play,Portugal,Bruno Miguel Borges Fernandes,Right Defensive Midfield,0.0,3941020,944,780,5204,,,
7f633826-652d-4ddc-bfb2-542508d59e33,2866,2,00:36:18.095,81,18,Injury Stoppage,139,Slovenia,Regular Play,Slovenia,Adam Gnezda Čerin,Right Defensive Midfield,0.0,3941020,944,944,31968,,,
25624140-9d5f-483c-9863-fc2daabbc629,1079,1,00:23:54.893,23,54,Injury Stoppage,30,France,Regular Play,Belgium,Jeremy Doku,Left Midfield,0.0,3941019,771,782,23650,,,
5c9f5cba-75dc-418e-b751-ab46f92bca07,1942,1,00:42:41.468,42,41,Injury Stoppage,56,France,From Throw In,France,Kylian Mbappé Lottin,Left Wing,0.0,3941019,771,771,3009,,,
986e61de-d502-4dc6-813d-87b660618049,3099,2,00:25:55.430,70,55,Injury Stoppage,102,Belgium,Regular Play,France,Kylian Mbappé Lottin,Left Wing,0.0,3941019,782,771,3009,,,
