id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,under_pressure,related_events,match_id,clearance_head,clearance_body_part,possession_team_id,team_id,player_id,out,clearance_right_foot,clearance_aerial_won,clearance_left_foot,clearance_other,off_camera
2291dfaf-35c8-4299-9857-35e07776be3e,310,1,00:07:24.523,7,24,Clearance,15,Germany,Regular Play,Hungary,Willi Orban,Center Back,"[17.9, 36.1]",0.0,True,['0bf7c121-75e8-42b1-929a-1423026d229b'],3930168,,Left Foot,770,916,8509,,,,True,,
2d9d2e15-f961-47ef-8555-c1a455172fe6,500,1,00:10:51.834,10,51,Clearance,20,Germany,From Throw In,Hungary,Bendegúz Bolla,Right Wing Back,"[7.0, 48.4]",0.0,True,['0c762458-f5a2-49d4-82c8-9666e1383809'],3930168,True,Head,770,916,46789,True,,True,,,
1d4bbf56-04ee-466b-b4e4-04d19a48008f,508,1,00:12:10.978,12,10,Clearance,22,Germany,From Corner,Hungary,Ádám Nagy,Right Defensive Midfield,"[15.1, 40.2]",0.0,True,['0ca3796b-dede-432c-b305-869eb8f095ff'],3930168,,Right Foot,770,916,7162,,True,,,,
a0d55c7b-46be-454f-b083-8b0c91180985,510,1,00:12:12.687,12,12,Clearance,22,Germany,From Corner,Hungary,Roland Sallai,Left Attacking Midfield,"[18.9, 29.3]",0.0,True,,3930168,,Right Foot,770,916,19316,,True,,,,
8160a049-6f67-4372-89d7-9f57aa0db825,623,1,00:15:00.651,15,0,Clearance,27,Germany,Regular Play,Hungary,Bendegúz Bolla,Right Wing Back,"[9.7, 70.9]",0.0,True,['3b556584-8616-4ff9-b37a-fffef21fcab3'],3930168,,Right Foot,770,916,46789,True,True,,,,
a5ed4a23-bf92-4574-bd37-200a79098309,700,1,00:16:51.907,16,51,Clearance,31,Germany,From Corner,Hungary,Bendegúz Bolla,Right Wing Back,"[3.5, 44.9]",0.0,True,['bcfed583-a2f9-4785-8e01-5bfc240a8430'],3930168,True,Head,770,916,46789,,,,,,
e7c55f21-1d3b-47e3-b63b-a4925414cdb5,888,1,00:20:13.925,20,13,Clearance,35,Germany,From Free Kick,Hungary,András Schäfer,Left Defensive Midfield,"[13.2, 33.0]",0.0,True,['663f3dbb-a0c2-4c3b-a956-4fcd0fe1f334'],3930168,True,Head,770,916,42822,,,,,,
a54be529-4216-4157-9bbf-0e935dfbaa96,889,1,00:20:17.074,20,17,Clearance,35,Germany,From Free Kick,Hungary,Milos Kerkez,Left Wing Back,"[3.8, 21.4]",0.0,True,,3930168,,Left Foot,770,916,89635,,,,True,,
38ffb357-8c86-41c1-8cb4-c861f49d512a,1003,1,00:25:22.069,25,22,Clearance,40,Hungary,From Free Kick,Germany,Kai Havertz,Center Forward,"[1.0, 46.1]",0.0,True,,3930168,,Right Foot,916,770,8966,,True,,,,
f3b9cdc7-d7d1-4408-a8bc-0fe3fde78d75,1015,1,00:25:38.077,25,38,Clearance,40,Hungary,From Free Kick,Germany,Joshua Kimmich,Right Back,"[15.4, 62.9]",0.0,True,,3930168,,Right Foot,916,770,5579,,True,,,,
632d6564-5f86-48d1-8885-2f8705ed113f,1040,1,00:26:41.255,26,41,Clearance,42,Germany,From Free Kick,Hungary,Attila Fiola,Right Center Back,"[19.4, 45.8]",0.0,True,['c28b9eda-e1cd-4c5e-8ee3-65b43c3bfd57'],3930168,True,Head,770,916,11268,,,,,,
d0211a11-f7bb-46a8-9bab-9f3a8f4e437c,1161,1,00:29:00.772,29,0,Clearance,48,Hungary,From Corner,Germany,Maximilian Mittelstädt,Left Back,"[3.3, 49.4]",0.0,True,['d3d0eef8-7524-4c74-bb44-11136043e380'],3930168,,Left Foot,916,770,12407,,,,True,,
c89c2097-3384-4d6d-a86a-e6e6e20c7b9c,1280,1,00:31:08.055,31,8,Clearance,51,Germany,Regular Play,Hungary,Milos Kerkez,Left Wing Back,"[6.6, 34.0]",0.0,True,['b107e855-b220-403d-95ad-932d7dd9c7f7'],3930168,True,Head,770,916,89635,,,,,,
75ca6a4b-c286-4018-ae5a-384f58d8ee91,1521,1,00:35:32.000,35,32,Clearance,57,Germany,Regular Play,Hungary,Milos Kerkez,Left Wing Back,"[8.0, 36.6]",0.0,True,"['9b4d78cd-0193-4eb7-9847-81bae66db42b', 'fd24fb67-fb82-4d2d-8fdc-619d166edb81']",3930168,True,Head,770,916,89635,True,,True,,,
4797b580-a1b0-4a5d-b361-2a87a97b8987,1525,1,00:36:26.447,36,26,Clearance,58,Germany,From Corner,Hungary,Willi Orban,Center Back,"[4.5, 38.7]",0.0,True,"['1ea95da8-4648-49eb-bc23-1c7fa424e651', '6b399d1d-b76d-4981-b196-d1947ee150ff']",3930168,True,Head,770,916,8509,,,True,,,
9711369c-40fe-4cf1-80a2-62e795ea6fd9,1555,1,00:36:52.382,36,52,Clearance,58,Germany,From Corner,Hungary,Bendegúz Bolla,Right Wing Back,"[7.0, 48.0]",0.0,True,['94f69ac8-9b67-42ef-bdc0-114742f93af9'],3930168,True,Head,770,916,46789,True,,,,,
a8aba836-eb27-44f3-a0ef-a316a0d81d52,1559,1,00:37:26.286,37,26,Clearance,59,Germany,From Corner,Hungary,Willi Orban,Center Back,"[6.1, 41.8]",0.0,True,"['76a5481b-b73d-468e-ba8c-e1ffc62b7cfe', 'e9e5244c-5ebe-4cb5-8fe9-60fb88894a6f']",3930168,True,Head,770,916,8509,,,True,,,
19a7803a-2db8-4230-a91a-20ce5221e14c,1565,1,00:37:34.036,37,34,Clearance,59,Germany,From Corner,Hungary,Bendegúz Bolla,Right Wing Back,"[3.7, 52.5]",0.0,True,['269672dd-15ca-4fb3-9ac8-72418b26f306'],3930168,True,Head,770,916,46789,,,,,,
3bbee0bd-69ec-4bfb-b01c-067457b78758,1669,1,00:40:12.541,40,12,Clearance,63,Germany,From Corner,Hungary,Barnabás Varga,Center Forward,"[6.5, 43.4]",0.0,True,"['256038b9-69f3-4148-8065-f36ed250d922', '97197b00-4c4e-47dd-b3df-b7bc9e16c84a']",3930168,True,Head,770,916,12921,True,,True,,,
f6b096c5-2c19-468d-bbb1-3f8e61e312dc,1673,1,00:40:54.925,40,54,Clearance,64,Germany,From Corner,Hungary,Barnabás Varga,Center Forward,"[8.0, 34.2]",0.0,True,"['3e658c06-4d77-46b3-9bf3-b708b84902d5', '71e7f49c-e80b-49da-bcf9-131f0c628c5f']",3930168,True,Head,770,916,12921,,,True,,,
15b0aafe-67c3-44f8-85d9-8ba9a965c2bf,1729,1,00:41:53.522,41,53,Clearance,66,Germany,Regular Play,Hungary,Willi Orban,Center Back,"[14.8, 51.0]",0.0,True,['c9d6608b-0582-4f0d-aaea-d379f29b607e'],3930168,,Right Foot,770,916,8509,,True,,,,
0df819d2-0685-482b-9b7f-2fab98ab131d,1757,1,00:42:16.128,42,16,Clearance,66,Germany,Regular Play,Hungary,András Schäfer,Left Defensive Midfield,"[28.3, 24.1]",0.0,True,,3930168,,Right Foot,770,916,42822,,True,,,,
2effcd89-2eff-41a1-87c3-4595fe095eef,1879,1,00:44:28.853,44,28,Clearance,67,Germany,From Corner,Hungary,Barnabás Varga,Center Forward,"[8.5, 33.8]",0.0,True,['140f0b53-7a16-46b2-b59d-dd3d8c00a913'],3930168,True,Head,770,916,12921,,,,,,
fed3aecc-26ea-47bd-bbb7-8dea84061ade,1954,1,00:47:26.069,47,26,Clearance,70,Germany,From Free Kick,Hungary,Márton Dárdai,Left Center Back,"[22.0, 40.8]",0.0,True,,3930168,,Left Foot,770,916,40920,,,,True,,
a3ae1082-06b3-46e1-abe3-e8305bd85880,2005,2,00:00:24.326,45,24,Clearance,72,Germany,Regular Play,Hungary,Márton Dárdai,Left Center Back,"[37.5, 7.2]",0.0,True,,3930168,,Left Foot,770,916,40920,,,,True,,
